id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,free_float_mcap,weight
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,107648.0,2140773705108,1,2140775319931,18680975535,108771.0,107379.0,-276.12863350355474,-0.25585,-5099778125.772217,-0.23766,19885525.0,19885540.0,21000000.0,111814.0,-3.72452,2025-05-22T18:41:28.492Z,67.81,158654.17654,2013-07-06T00:00:00.000Z,,2025-06-30T09:41:09.810Z,1669803489984.24,69.12199618094976
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2471.76,298435791083,2,298435791083,13491067012,2519.56,2425.62,18.34,0.74751,2278105922.0,0.76922,120717794.0590473,120717794.0590473,,4878.26,-49.32642,2021-11-10T14:24:19.604Z,0.432979,570826.10096,2015-10-20T00:00:00.000Z,"{'times': 29.69988738417615, 'currency': 'btc', 'percentage': 2969.988738417615}",2025-06-30T09:41:11.351Z,253670422420.55,10.500760164262598
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,157715750694,3,157715750694,20161966703,1.0,1.0,-9.8148488743233e-05,-0.00981,101136108.0,0.06417,157693626185.9826,157693626185.9826,,1.32,-24.409,2018-07-24T00:00:00.000Z,0.572521,74.69069,2015-03-02T00:00:00.000Z,,2025-06-30T09:41:08.157Z,149829963159.3,6.2022544589284125
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.18,128924414487,4,218464807338,1469006968,2.22,2.18,-0.009382597156285755,-0.42762,-539080642.634491,-0.4164,59005546715.0,99985991375.0,100000000000.0,3.4,-35.70954,2018-01-07T00:00:00.000Z,0.00268621,81236.97655,2014-05-22T00:00:00.000Z,,2025-06-30T09:41:10.741Z,103139531589.6,4.269490602578969
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,654.03,95431314495,5,95431314495,527215967,656.07,647.8,3.47,0.53279,552637887.0,0.58247,145887575.79,145887575.79,200000000.0,788.84,-17.08781,2024-12-04T10:35:25.220Z,0.0398177,1642505.12325,2017-10-19T00:00:00.000Z,,2025-06-30T09:41:09.380Z,66801920146.49999,2.7652847158021356
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,150.33,80357140511,6,90834379241,3447248212,154.17,149.71,-1.3435262411239535,-0.88583,-680873653.3515472,-0.84019,534474543.8635656,604161162.3188338,,293.31,-48.8038,2025-01-19T11:15:27.957Z,0.500801,29884.86639,2020-05-11T19:35:23.449Z,,2025-06-30T09:41:09.188Z,64285712408.8,2.6611255721190568
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999836,61629474460,7,61638790331,5484206704,0.999903,0.999798,-6.4362062470291e-05,-0.00644,-72099321.9771347,-0.11685,61637270561.78787,61646587611.00088,,1.17,-14.7356,2019-05-08T00:40:28.300Z,0.877647,13.92977,2023-03-11T08:02:13.981Z,,2025-06-30T09:41:08.820Z,49303579568.0,2.040935870027804
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.277425,26307153468,8,26307118505,360858982,0.277977,0.274726,0.00190794,0.69249,191663931.0,0.73391,94801120213.63773,94800994222.81721,,0.431288,-35.67582,2024-12-04T00:10:40.323Z,0.00180434,15275.28636,2017-11-12T00:00:00.000Z,"{'times': 145.01333113106668, 'currency': 'usd', 'percentage': 14501.333113106668}",2025-06-30T09:41:09.546Z,21045722774.4,0.8711937530152931
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.165671,24837490300,9,24839240155,780738181,0.169732,0.163416,0.00092055,0.55875,155511740.0,0.63006,149888936383.7052,149899496383.7052,,0.731578,-77.35116,2021-05-08T05:08:23.458Z,8.69e-05,190563.71232,2015-05-06T00:00:00.000Z,,2025-06-30T09:41:09.162Z,19869992240.0,0.822524049067441
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2470.99,22479449693,10,22479449693,58439548,2521.59,2418.63,17.15,0.699,144386456.0,0.64646,9097921.83229518,9097921.83229518,,4829.57,-48.81547,2021-11-10T14:40:47.256Z,482.9,411.9098,2020-12-22T04:08:21.854Z,,2025-06-30T09:41:06.815Z,17983559754.4,0.7444346332485214
